1	 Inverter 2KW / 1Phase  (Solar Edge)             		0											
2	 Inverter 3KW  / 1Phase  (Solar Edge)             	SE3000HIN000BNN4	0											
3	 Inverter 3.5KW  / 1Phase  (Solar Edge)             	SE3500IN0000BNN4	2											
4	 Inverter 4KW  / 1Phase  (Solar Edge)              	SE4000H-IN000BNN4	0											 
5	 Inverter 5KW  / 1Phase  (Solar Edge)              	SE5000H-IN000BNN4	0											
6	 Inverter 5KW  / 3Phase  (Solar Edge)                	SE5K-IN0TEBNN4	18											
7	 Inverter 6KW  / 1Phase  Storage (Solar Edge)                 	SE6000-INS20NNB2	1											
8	 Inverter 5KW  / 1Phase  Storage (Solar Edge)                 	SE5000-INS20NNB2	1	1 - Automation Gallery										
9	 Inverter 8KW  / 3Phase  (Solar Edge)                 	SE8K-IN0TEBNN4	2											
10	 Inverter 10KW  / 3Phase  (Solar Edge)             	SE10K-IN00RBNN4	0											
11	 Inverter 10KW  / 3Phase  (Solar Edge)             	SE10K-IN0TEBNN4	0	1 - Soorya Solar 										
12	 Inverter 17KW  / 3Phase  (Solar Edge)             	SE17K-IN0T0BNN4	3											
13	 Inverter 27KW  / 3Phase  (Solar Edge)             	SE27.6KIN000BNN4	0											
14	 Inverter 27KW  / 3Phase  (Solar Edge)    DCDB         	SE27.6KIN000BND4	0											
15	 Inverter 33.3KW  / 3Phase  (Solar Edge)                	SE33.3KINOOIBNN4	1											
16	 Inverter 33.3KW  / 3Phase with DC SPD  (Solar Edge)                	SE33.3KRWOOIBNM4	0											
17	Inverter 27KW / 3Phase RSD (Solar Edge)	SE27.6KINR00BNN4	0											
18	Inverter 100KW / 3Ph Manager with DC SPD (Solar Edge)	SE100K-IN00IBNM4	0											
19	Inverter 100KW / 3Ph Manager with DCD & DC SPD (Solar Edge)	SE100K-IN00IBNC4	0											
20	Inverter 66KW / 3Ph Manager with DC SPD (Solar Edge)	SE66K-IN00IBNM4	1											
21	Inverter 66KW / 3Ph Manager with DCD & DC SPD (Solar Edge)	SE66K-IN00IBNC4	1	1 - Vidhya Solar										
22	Inverter 90KW / 3Ph Manager with DC SPD (Solar Edge)	SE90K-IN00IBNC4	0											
23	Secondary Inverter for Synergy Unit (Solar Edge)	SESUK-RW00INNN4	4	2 - Vidhya Solar										
24	Modbus Meter  (Solar Edge)	SE-MTR-3Y-400V-A	0											
25	Current Transformer 250A  (Solar Edge)	SE-ACT-0750-250	199											
26	Current Transformer 1000A  (Solar Edge)	SE-CTS-2000-1000	0											
27	Current Transformer 100A  (Solar Edge)	SE-ACT-0750-100	3											
28	Current Transformer 50A  (Solar Edge)	SE-ACT-0750-50	0											
29	Bus Bar CT Coil 3000A (Solar Edge)	SE-CTB-4X4.5-3000	0											
30	Bus Bar CT Coil 2000A (Solar Edge)	SE-CTB-4X4-2000	0											
31	Bus Bar CT Coil 1200A (Solar Edge)	SE-CTB-4X4-1200	0											
32	FLD-3Ph-SL-PRT-01 (Solar Edge)	FLD-3PH-SL-PRT-01	1											
33	FLD-3PH-PRT-03 (Solar Edge) Display	FLD-3PH-PRT-03	1											
34	SE-RS485-SPD2-B-K1	SE-RS485-SPD2-B-K1	7											
35	FLD-DCD-Com-Hub	FLD-DCD-COM-HUB	2											
36	Temperature Ambient Sensor	SE1000-SEN-TAMB-S2	1											
37	Modbus Module Sensor	SE1000-SENTMOD-S2	1											
38	Commercial Gateway	SE1000-CCG-G-S1	1											
39	Irradiance Sensor (Solar Edge)   	SE1000-SEN-IRRS1	1											
40	DG - Synchronizer SE2000	SE2000-PFSVMSDC-DG	0											
41	Antenna	SE-ANT-ZBWIFI-KIT	37	1 - Brillo										
42	SE-RS485-SPD2-K1	SE-RS485-SPD2-K1	6											
43	FLD-3Ph-2PL-PRT-01	FLD-3Ph-2PL-PRT-01	2											
44	SE-RS485-SPD2-K2	SE-RS485-SPD2-K2	26											
45	FLD-3Ph-PRT-01	FLD-3Ph-PRT-01	0											
46	SE1000-RS485-IF (Expansion)	SE1000-RS485-IF	8											
47	Modbus Meter  WND (Solar Edge)	SE-WND-3Y400-MBK2	0											
48	Power Plant Controller	SE2000-PFSVMSDC-4BPC	0											
49	DC SPD for 3Ph Inverter	DC SPD Upgrade Inverter 	19											
50	AC SPD for 3Ph Inverter	AC SPD Upgrade	7											
 	 		 											
